time, kategory1, mood1, weekday, kategory2, mood2
0:00, sleep, sleep, mon, sleep, sleep
0:30, sleep, sleep, mon, sleep, sleep
1:00, sleep, sleep, mon, sleep, sleep
1:30, sleep, sleep, mon, sleep, sleep
2:00, sleep, sleep, mon, sleep, sleep
2:30, sleep, sleep, mon, sleep, sleep
3:00, sleep, sleep, mon, sleep, sleep
3:30, sleep, sleep, mon, sleep, sleep
4:00, sleep, sleep, mon, sleep, sleep
4:30, sleep, sleep, mon, sleep, sleep
5:00, sleep, sleep, mon, sleep, sleep
5:30, sleep, sleep, mon, sleep, sleep
6:00, sleep, sleep, mon, sleep, sleep
6:30, hygiene, good, mon, sleep, sleep
7:00, food, super, mon , hygiene, super
7:30, onTheWay, good, mon, food, super
8:00, onTheWay, good, mon, onTheWay, good
8:30, Study, good, mon, onTheWay, good
9:00, Study, good, mon, Study, good
9:30, Study, good, mon, Study, good
10:00, Study, good, mon, Study, good
10:30, Study, good, mon, Study, good
11:00, onTheWay, alomostGood, mon, onTheWay, good
11:30, onTheWay, alomostGood, mon, onTheWay, alomostGood
12:00, food, good, mon, food, good
12:30, food, super, mon, freeTime, super
13:00, Study, super, mon, freeTime, super
13:30, Study, good, mon, Study, super
14:00, Study, good, mon, Study, good
14:30, Study, alomostGood, mon, Study, good
15:00, Study, alomostGood, mon, Study, good
15:30, Study, alomostGood, mon, Study, alomostGood
16:00, Study, neutral, mon, Study, alomostGood
16:30, Study, neutral, mon, freeTime, good
17:00, food, alomostGood, mon, food, good
17:30, food, alomostGood, mon, food, super
18:00, Study, alomostGood, mon, Study, super
18:30, Study, alomostGood, mon, Study, good
19:00, Study, neutral, mon, Study, good
19:30, Study, neutral, mon, Study, good
20:00, Study, quiteTired, mon, Study, alomostGood
20:30, Study, quiteTired, mon, Study, alomostGood
21:00, Study, quiteTired, mon, freeTime, good
21:30, Study, quiteTired, mon, freeTime, super
22:00, Study, quiteTired, mon, freeTime, super
22:30, Study, quiteTired, mon, freeTime, super
23:00, Study, Tired, mon, freeTime, super
23:30, Study, Tired, mon, hygiene, good
0:00, Study, Tired, tue, sleep, sleep
0:30, Study, Tired, tue, sleep, sleep
1:00, Study, Tired, tue, sleep, sleep
1:30, hygiene, Tired, tue, sleep, sleep
2:00, sleep, sleep, tue, sleep, sleep
2:30, sleep, sleep, tue, sleep, sleep
3:00, sleep, sleep, tue, sleep, sleep
3:30, sleep, sleep, tue, sleep, sleep
4:00, sleep, sleep, tue, sleep, sleep
4:30, sleep, sleep, tue, sleep, sleep
5:00, sleep, sleep, tue, sleep, sleep
5:30, sleep, sleep, tue, sleep, sleep
6:00, Study, alomostGood, tue, sleep, sleep
6:30, Study, neutral, tue, sleep, sleep
